generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
280,10000,34.109306930693066,54.0,1.0,1.0,1.0,46,46.2688
281,10000,35.466534653465345,54.0,1.0,1.0,1.0,44,46.3852
282,10000,35.39782178217822,59.0,1.0,1.0,1.0,41,46.5191
283,10000,33.093069306930694,55.0,1.0,1.0,1.0,47,46.7259
284,10000,34.82534653465346,55.0,1.0,1.0,1.0,43,47.0157
285,10000,34.47841584158416,60.0,1.0,1.0,1.0,44,47.2771
286,10000,36.128316831683165,57.0,1.0,1.0,1.0,55,47.5332
287,10000,35.92633663366337,58.0,1.0,1.0,1.0,64,47.6274
288,10000,37.40891089108911,58.0,1.0,1.0,1.0,71,47.7713
289,10000,35.26376237623762,57.0,1.0,1.0,1.0,67,47.9487
290,10000,37.56138613861386,55.0,1.0,1.0,1.0,60,48.0965
291,10000,37.34277227722772,60.0,1.0,1.0,1.0,61,48.177
292,10000,35.43980198019802,53.0,1.0,1.0,1.0,56,48.2493
293,10000,37.63445544554455,59.0,1.0,1.0,1.0,53,48.4888
294,10000,36.71188118811881,61.0,1.0,1.0,1.0,55,48.7742
295,10000,39.364950495049506,63.0,1.0,1.0,1.0,51,48.9588
296,10000,37.52039603960396,61.0,1.0,1.0,1.0,55,49.1263
297,10000,36.13722772277228,59.0,1.0,1.0,1.0,43,49.254
298,10000,38.3639603960396,63.0,1.0,1.0,1.0,46,49.3861
299,10000,36.960396039603964,58.0,1.0,1.0,1.0,48,49.5572
300,10000,37.90673267326733,59.0,1.0,1.0,1.0,47,49.8516
301,10000,37.40732673267327,62.0,1.0,1.0,1.0,37,49.7833
302,10000,38.09207920792079,63.0,1.0,1.0,1.0,33,50.0629
303,10000,37.314257425742575,61.0,1.0,1.0,1.0,38,50.3577
304,10000,38.51544554455445,65.0,1.0,1.0,1.0,37,50.6877
305,10000,38.20772277227723,58.0,1.0,1.0,1.0,38,50.6975
306,10000,37.733069306930695,61.0,1.0,1.0,1.0,38,51.0136
307,10000,38.75425742574257,59.0,1.0,1.0,1.0,42,51.1755
308,10000,38.41346534653465,61.0,1.0,1.0,1.0,42,51.3562
