generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
185,10000,21.71920792079208,37.0,1.0,1.0,1.0,51,29.7543
186,10000,21.753663366336635,35.0,1.0,1.0,1.0,43,29.8912
187,10000,21.72217821782178,37.0,1.0,1.0,1.0,44,30.1381
188,10000,20.874653465346533,35.0,1.0,1.0,1.0,41,30.2885
189,10000,21.32079207920792,33.0,1.0,1.0,1.0,45,30.512
190,10000,21.683762376237624,41.0,1.0,1.0,1.0,53,30.6813
191,10000,19.59128712871287,32.0,1.0,1.0,1.0,60,30.9348
192,10000,22.284950495049504,39.0,1.0,1.0,1.0,77,31.1238
193,10000,22.44950495049505,39.0,1.0,1.0,1.0,64,31.2987
194,10000,22.168316831683168,39.0,1.0,1.0,1.0,69,31.4528
195,10000,22.33762376237624,42.0,1.0,1.0,1.0,67,31.7918
196,10000,21.786336633663367,35.0,1.0,1.0,1.0,67,31.9932
197,10000,21.585346534653464,38.0,1.0,1.0,1.0,72,32.2464
198,10000,22.847920792079208,39.0,1.0,1.0,1.0,85,32.3787
199,10000,23.120594059405942,41.0,1.0,1.0,1.0,80,32.4073
200,10000,23.10039603960396,42.0,1.0,1.0,1.0,66,32.5725
201,10000,23.625940594059404,42.0,1.0,1.0,1.0,68,32.7433
202,10000,23.83009900990099,42.0,1.0,1.0,1.0,53,32.915
203,10000,23.712277227722772,43.0,1.0,1.0,1.0,59,33.0581
204,10000,23.944752475247526,45.0,1.0,1.0,1.0,59,33.2893
205,10000,23.752079207920794,42.0,1.0,1.0,1.0,58,33.5122
206,10000,24.133069306930693,41.0,1.0,1.0,1.0,61,33.7369
207,10000,24.04158415841584,42.0,1.0,1.0,1.0,63,33.7126
208,10000,24.09960396039604,40.0,1.0,1.0,1.0,70,33.7929
209,10000,23.515643564356434,43.0,1.0,1.0,1.0,60,33.8725
210,10000,23.282178217821784,43.0,1.0,1.0,1.0,62,34.0385
211,10000,24.076435643564356,41.0,1.0,1.0,1.0,54,34.1496
212,10000,24.08059405940594,40.0,1.0,1.0,1.0,42,34.2819
213,10000,24.33148514851485,39.0,1.0,1.0,1.0,47,34.3965
214,10000,25.684158415841583,41.0,1.0,1.0,1.0,43,34.6412
215,10000,23.915247524752477,42.0,1.0,1.0,1.0,51,34.7717
216,10000,24.904356435643564,44.0,1.0,1.0,1.0,49,34.8729
217,10000,23.625544554455445,45.0,1.0,1.0,1.0,46,34.9503
218,10000,23.204356435643565,40.0,1.0,1.0,1.0,43,35.3214
219,10000,25.6209900990099,45.0,1.0,1.0,1.0,42,35.3763
220,10000,23.10891089108911,42.0,1.0,1.0,1.0,45,35.5577
221,10000,24.992673267326733,46.0,1.0,1.0,1.0,39,35.811
222,10000,25.593069306930694,44.0,1.0,1.0,1.0,42,35.9925
223,10000,24.01188118811881,42.0,1.0,1.0,1.0,45,36.0292
224,10000,25.081980198019803,45.0,1.0,1.0,1.0,46,36.1747
225,10000,25.14990099009901,44.0,1.0,1.0,1.0,44,36.5632
226,10000,25.614059405940594,46.0,1.0,1.0,1.0,51,36.8046
227,10000,25.781584158415843,43.0,1.0,1.0,1.0,42,36.9487
228,10000,25.753267326732672,42.0,1.0,1.0,1.0,43,36.8528
229,10000,26.813069306930693,44.0,1.0,1.0,1.0,45,37.068
230,10000,26.60118811881188,43.0,1.0,1.0,1.0,58,37.1407
231,10000,25.73960396039604,43.0,1.0,1.0,1.0,63,37.1719
232,10000,25.99762376237624,45.0,1.0,1.0,1.0,72,37.2334
233,10000,27.304158415841584,45.0,1.0,1.0,1.0,72,37.5794
234,10000,27.106930693069305,42.0,1.0,1.0,1.0,56,37.7609
235,10000,25.053465346534654,44.0,1.0,1.0,1.0,48,37.9835
236,10000,26.435643564356436,44.0,1.0,1.0,1.0,48,38.2319
237,10000,26.694257425742574,44.0,1.0,1.0,1.0,53,38.508
238,10000,26.966534653465345,46.0,1.0,1.0,1.0,56,38.7556
239,10000,26.455643564356436,48.0,1.0,1.0,1.0,53,38.976
240,10000,28.706732673267325,48.0,1.0,1.0,1.0,54,39.2067
241,10000,27.659207920792078,48.0,1.0,1.0,1.0,49,39.5857
242,10000,28.89029702970297,49.0,1.0,1.0,1.0,44,39.8667
243,10000,26.302970297029702,44.0,1.0,1.0,1.0,44,39.932
244,10000,26.632673267326734,45.0,1.0,1.0,1.0,50,40.0309
245,10000,28.082970297029703,51.0,1.0,1.0,1.0,55,40.08
246,10000,28.38811881188119,46.0,1.0,1.0,1.0,47,40.3479
247,10000,27.29980198019802,47.0,1.0,1.0,1.0,48,40.4422
248,10000,29.226930693069306,51.0,1.0,1.0,1.0,51,40.6607
249,10000,28.32910891089109,47.0,1.0,1.0,1.0,45,40.9057
250,10000,28.611089108910893,49.0,1.0,1.0,1.0,45,41.0556
251,10000,28.262376237623762,46.0,1.0,1.0,1.0,44,40.9884
252,10000,27.306534653465345,46.0,1.0,1.0,1.0,56,41.2799
253,10000,26.679801980198018,44.0,1.0,1.0,1.0,62,41.3966
254,10000,28.009306930693068,45.0,1.0,1.0,1.0,48,41.5863
255,10000,29.190297029702972,50.0,1.0,1.0,1.0,48,41.8199
256,10000,29.46138613861386,48.0,1.0,1.0,1.0,46,42.0509
257,10000,28.593861386138613,50.0,1.0,1.0,1.0,44,42.2235
258,10000,29.812277227722774,50.0,1.0,1.0,1.0,42,42.3597
259,10000,28.971683168316833,45.0,1.0,1.0,1.0,39,42.5365
260,10000,29.81940594059406,44.0,1.0,1.0,1.0,42,42.7621
261,10000,30.817623762376236,51.0,1.0,1.0,1.0,46,42.9569
262,10000,29.53821782178218,47.0,1.0,1.0,1.0,52,43.1671
263,10000,29.586534653465346,51.0,1.0,1.0,1.0,72,43.5823
264,10000,30.076237623762378,46.0,1.0,1.0,1.0,57,43.6983
265,10000,30.292871287128712,49.0,1.0,1.0,1.0,53,43.8535
266,10000,28.795247524752476,45.0,1.0,1.0,1.0,58,43.9388
267,10000,29.994653465346534,50.0,1.0,1.0,1.0,51,43.9208
268,10000,30.064950495049505,50.0,1.0,1.0,1.0,46,43.9902
269,10000,30.334059405940593,53.0,1.0,1.0,1.0,39,44.0231
270,10000,30.904752475247523,51.0,1.0,1.0,1.0,44,44.308
271,10000,29.95089108910891,48.0,1.0,1.0,1.0,48,44.4949
272,10000,31.202772277227723,47.0,1.0,1.0,1.0,52,44.4888
273,10000,30.936633663366337,51.0,1.0,1.0,1.0,42,44.4819
274,10000,30.42,49.0,1.0,1.0,1.0,49,44.5467
275,10000,30.784752475247526,48.0,1.0,1.0,1.0,48,44.9436
276,10000,30.962574257425743,51.0,1.0,1.0,1.0,55,45.0738
277,10000,30.073663366336632,49.0,1.0,1.0,1.0,46,45.2044
278,10000,33.11425742574257,54.0,1.0,1.0,1.0,42,45.3438
